threshold_strategy,Delta_Recall,Delta_Precision,Delta_F1,Delta_Balanced_Accuracy,Delta_MCC,Delta_GMean,Delta_Cost_1_1,Delta_Cost_2_1,Delta_Cost_5_1,Delta_Cost_10_1
Fixed0.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MaxBalancedAccuracy,0.2749710289830307,-0.12382662241476551,0.07127636318687075,0.043985314358539904,0.018331122062825805,0.07764213466263321,4.82,-3.44,-28.22,-69.52
MaxF1,0.2673977214135182,-0.11664214863353045,0.07329148437868115,0.045892572078548854,0.02307920290038914,0.07974897591796704,4.28,-3.74,-27.8,-67.9
MaxMCC,0.1668764129371822,-0.06639258726488195,0.06130263996825514,0.035973227152203455,0.02615246850317811,0.06320349876790442,1.44,-3.7,-19.12,-44.82
MinCost_FN10_FP1,0.50080095845246,-0.2920425646394987,-0.019286319723168802,-0.0732557381077718,-0.14726634614379508,-0.16187366010934592,30.32,15.26,-29.92,-105.22
MinCost_FN2_FP1,0.22522541582962727,-0.09333143611835258,0.07260018871367864,0.04606202467723371,0.029710010923774767,0.07944912944545746,2.6,-4.14,-24.36,-58.06
MinCost_FN5_FP1,0.42566554359576536,-0.23009010587891854,0.028457916834337526,-0.001466292194638492,-0.056903689561082646,-0.002280699861660409,17.3,4.52,-33.82,-97.72
