threshold_strategy,Threshold_Mean,Threshold_SD,Threshold_Min,Threshold_Max,Recall,Precision,F1,Specificity,Balanced_Accuracy,MCC,GMean,Cost_1_1,Cost_2_1,Cost_5_1,Cost_10_1
Fixed0.50,0.5,0.0,0.5,0.5,0.46413497851781743,0.6468905358034075,0.5362078620069601,0.8913651489018817,0.6777500637098496,0.3956074894371502,0.6408748880761057,23.74,39.86,88.22,168.82
MaxBalancedAccuracy,0.3110616311381106,0.04786159261056187,0.23335147372956394,0.39237801961915886,0.7391060075008481,0.5230639133886421,0.6074842251938309,0.7043647486359308,0.7217353780683895,0.41393861149997596,0.718517022738739,28.56,36.42,60.0,99.3
MaxF1,0.319084692716525,0.04600877025688213,0.23335147372956394,0.39237801961915886,0.7315326999313356,0.5302483871698771,0.6094993463856413,0.7157525716454611,0.7236426357883984,0.41868669233753925,0.7206238639940727,28.02,36.12,60.42,100.92
MaxMCC,0.39414905228070907,0.07116560485337475,0.22430351244114854,0.5457183263565552,0.6310113914549995,0.5804979485385257,0.5975105019752153,0.7964351902691064,0.713723290862053,0.4217599579403283,0.7040783868440101,25.18,36.16,69.1,124.0
MinCost_FN10_FP1,0.08476590845895668,0.020883997633658533,0.044096977778215876,0.128020273290685,0.9649359369702774,0.35484797116390887,0.5169215422837913,0.24405271423387812,0.6044943256020777,0.2483411432933551,0.4790012279667598,54.06,55.12,58.3,63.6
MinCost_FN2_FP1,0.35375639256448843,0.04074383270254475,0.23335147372956394,0.4142474283538864,0.6893603943474447,0.553559099685055,0.6088080507206388,0.7582637824267218,0.7238120883870833,0.4253175003609249,0.7203240175215632,26.34,35.72,63.86,110.76
MinCost_FN5_FP1,0.16943548309961734,0.029468494975212776,0.128020273290685,0.22430351244114854,0.8898005221135828,0.416800429924489,0.5646657788412976,0.4627670209168393,0.676283771515211,0.3387037998760675,0.6385941882144452,41.04,44.38,54.4,71.1
