dataset,run_id,repeat,fold,feature_regime,weight_strategy,scale_pos_weight,source_features,transformed_features,feature_selection_runtime_seconds,model_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100,reference_roc_auc,reference_pr_auc,reference_recall_adverse,reference_precision_adverse,reference_f1_adverse,reference_balanced_accuracy,reference_mcc,reference_gmean,reference_ks_statistic,reference_cost_FN1_FP1_per100,reference_cost_FN2_FP1_per100,reference_cost_FN5_FP1_per100,reference_cost_FN10_FP1_per100,delta_roc_auc,delta_pr_auc,delta_recall_adverse,delta_precision_adverse,delta_f1_adverse,delta_balanced_accuracy,delta_mcc,delta_gmean,delta_ks_statistic,delta_cost_FN1_FP1_per100,delta_cost_FN2_FP1_per100,delta_cost_FN5_FP1_per100,delta_cost_FN10_FP1_per100
Australian Credit Approval,R1_F1,1,1,AllFeatures,Unweighted,1.0,14,42,0.0,0.2760668999981135,0.8405797101449275,0.9041095890410958,0.8148148148148148,0.8771929824561403,0.8571428571428571,0.8460038986354775,0.6826102681188947,0.9287416071041802,0.9469172564880869,0.8454287891696468,0.7322936972059779,50,7,15,66,15.942028985507246,26.81159420289855,59.42028985507246,113.76811594202898,0.9287416071041802,0.9469172564880869,0.8148148148148148,0.9041095890410958,0.8571428571428571,0.8460038986354775,0.6826102681188947,0.8454287891696468,0.7322936972059779,15.942028985507246,26.81159420289855,59.42028985507246,113.76811594202898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian Credit Approval,R1_F1,1,1,AllFeatures,Balanced,0.8278145695364238,14,42,0.0,0.2568727000034414,0.8478260869565217,0.9166666666666666,0.8148148148148148,0.8947368421052632,0.8627450980392157,0.854775828460039,0.6994001801312533,0.9315572882824344,0.9483142081425484,0.8538412231252319,0.7270955165692008,51,6,15,66,15.217391304347826,26.08695652173913,58.69565217391305,113.04347826086956,0.9287416071041802,0.9469172564880869,0.8148148148148148,0.9041095890410958,0.8571428571428571,0.8460038986354775,0.6826102681188947,0.8454287891696468,0.7322936972059779,15.942028985507246,26.81159420289855,59.42028985507246,113.76811594202898,0.002815681178254259,0.0013969516544615201,0.0,0.01255707762557079,0.0056022408963586345,0.00877192982456143,0.016789912012358577,0.008412433955585108,-0.005198180636777128,-0.72463768115942,-0.7246376811594217,-0.7246376811594146,-0.7246376811594217
Australian Credit Approval,R1_F1,1,1,AllFeatures,Cost2,1.6556291390728477,14,42,0.0,0.25937009998597205,0.8188405797101449,0.868421052631579,0.8148148148148148,0.8245614035087719,0.8407643312101911,0.8196881091617934,0.6328980753553142,0.9285250162443144,0.946087835710327,0.8196736224275146,0.737491877842755,47,10,15,66,18.115942028985508,28.985507246376812,61.594202898550726,115.94202898550725,0.9287416071041802,0.9469172564880869,0.8148148148148148,0.9041095890410958,0.8571428571428571,0.8460038986354775,0.6826102681188947,0.8454287891696468,0.7322936972059779,15.942028985507246,26.81159420289855,59.42028985507246,113.76811594202898,-0.00021659085986580617,-0.0008294207777599372,0.0,-0.03568853640951686,-0.016378525932665977,-0.02631578947368418,-0.04971219276358052,-0.025755166742132185,0.005198180636777128,2.1739130434782616,2.1739130434782616,2.173913043478265,2.173913043478265
Australian Credit Approval,R1_F1,1,1,AllFeatures,Cost5,4.139072847682119,14,42,0.0,0.2550331999664195,0.8405797101449275,0.8641975308641975,0.8641975308641975,0.8070175438596491,0.8641975308641975,0.8356075373619233,0.6712150747238467,0.9252761533463288,0.9459496140713641,0.8351182962716108,0.7270955165692008,46,11,11,70,15.942028985507246,23.91304347826087,47.82608695652174,87.68115942028986,0.9287416071041802,0.9469172564880869,0.8148148148148148,0.9041095890410958,0.8571428571428571,0.8460038986354775,0.6826102681188947,0.8454287891696468,0.7322936972059779,15.942028985507246,26.81159420289855,59.42028985507246,113.76811594202898,-0.0034654537578513445,-0.0009676424167227582,0.04938271604938271,-0.03991205817689836,0.007054673721340388,-0.010396361273554255,-0.01139519339504802,-0.010310492898035983,-0.005198180636777128,0.0,-2.89855072463768,-11.59420289855072,-26.086956521739125
Australian Credit Approval,R1_F1,1,1,FrozenChi2Top75,Unweighted,1.0,11,36,0.02175610000267625,0.22737280000001192,0.855072463768116,0.9178082191780822,0.8271604938271605,0.8947368421052632,0.8701298701298701,0.8609486679662118,0.7120939041127624,0.9189950184102231,0.9503117771225328,0.8602853992490769,0.7322936972059779,51,6,14,67,14.492753623188406,24.63768115942029,55.072463768115945,105.79710144927536,0.9287416071041802,0.9469172564880869,0.8148148148148148,0.9041095890410958,0.8571428571428571,0.8460038986354775,0.6826102681188947,0.8454287891696468,0.7322936972059779,15.942028985507246,26.81159420289855,59.42028985507246,113.76811594202898,-0.009746588693957059,0.0033945206344458967,0.012345679012345734,0.013698630136986356,0.012987012987012991,0.014944769330734298,0.02948363599386772,0.014856610079430066,0.0,-1.44927536231884,-2.1739130434782616,-4.347826086956516,-7.971014492753625
Australian Credit Approval,R1_F1,1,1,FrozenChi2Top75,Balanced,0.8278145695364238,11,36,0.02175610000267625,0.23205260001122952,0.855072463768116,0.9178082191780822,0.8271604938271605,0.8947368421052632,0.8701298701298701,0.8609486679662118,0.7120939041127624,0.9166125189517003,0.9490030610700749,0.8602853992490769,0.7218973359324237,51,6,14,67,14.492753623188406,24.63768115942029,55.072463768115945,105.79710144927536,0.9287416071041802,0.9469172564880869,0.8148148148148148,0.9041095890410958,0.8571428571428571,0.8460038986354775,0.6826102681188947,0.8454287891696468,0.7322936972059779,15.942028985507246,26.81159420289855,59.42028985507246,113.76811594202898,-0.012129088152479928,0.0020858045819880378,0.012345679012345734,0.013698630136986356,0.012987012987012991,0.014944769330734298,0.02948363599386772,0.014856610079430066,-0.010396361273554255,-1.44927536231884,-2.1739130434782616,-4.347826086956516,-7.971014492753625
Australian Credit Approval,R1_F1,1,1,FrozenChi2Top75,Cost2,1.6556291390728477,11,36,0.02175610000267625,0.25230290001491085,0.855072463768116,0.9178082191780822,0.8271604938271605,0.8947368421052632,0.8701298701298701,0.8609486679662118,0.7120939041127624,0.9187784275503574,0.9509582723912499,0.8602853992490769,0.7342430149447693,51,6,14,67,14.492753623188406,24.63768115942029,55.072463768115945,105.79710144927536,0.9287416071041802,0.9469172564880869,0.8148148148148148,0.9041095890410958,0.8571428571428571,0.8460038986354775,0.6826102681188947,0.8454287891696468,0.7322936972059779,15.942028985507246,26.81159420289855,59.42028985507246,113.76811594202898,-0.009963179553822754,0.00404101590316297,0.012345679012345734,0.013698630136986356,0.012987012987012991,0.014944769330734298,0.02948363599386772,0.014856610079430066,0.0019493177387913674,-1.44927536231884,-2.1739130434782616,-4.347826086956516,-7.971014492753625
Australian Credit Approval,R1_F1,1,1,FrozenChi2Top75,Cost5,4.139072847682119,11,36,0.02175610000267625,0.23870869999518618,0.8260869565217391,0.8607594936708861,0.8395061728395061,0.8070175438596491,0.85,0.8232618583495777,0.6434648776556792,0.9161793372319689,0.9487755137967742,0.8231015791868901,0.7218973359324237,46,11,13,68,17.391304347826086,26.81159420289855,55.072463768115945,102.17391304347827,0.9287416071041802,0.9469172564880869,0.8148148148148148,0.9041095890410958,0.8571428571428571,0.8460038986354775,0.6826102681188947,0.8454287891696468,0.7322936972059779,15.942028985507246,26.81159420289855,59.42028985507246,113.76811594202898,-0.012562269872211318,0.0018582573086872722,0.024691358024691357,-0.04335009537020973,-0.0071428571428571175,-0.022742040285899878,-0.039145390463215524,-0.022327209982756724,-0.010396361273554255,1.44927536231884,0.0,-4.347826086956516,-11.59420289855072
Australian Credit Approval,R1_F2,1,2,AllFeatures,Unweighted,1.0,14,42,0.0,0.25826400000369176,0.855072463768116,0.9066666666666666,0.8395061728395061,0.8771929824561403,0.8717948717948718,0.8583495776478232,0.7084609602852625,0.9369720597790773,0.9471047518813246,0.8581427174680365,0.7569850552306693,50,7,13,68,14.492753623188406,23.91304347826087,52.17391304347826,99.27536231884058,0.9369720597790773,0.9471047518813246,0.8395061728395061,0.9066666666666666,0.8717948717948718,0.8583495776478232,0.7084609602852625,0.8581427174680365,0.7569850552306693,14.492753623188406,23.91304347826087,52.17391304347826,99.27536231884058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian Credit Approval,R1_F2,1,2,AllFeatures,Balanced,0.8278145695364238,14,42,0.0,0.25262590002967045,0.8623188405797102,0.918918918918919,0.8395061728395061,0.8947368421052632,0.8774193548387097,0.8671215074723846,0.7249597817163093,0.9378384232185402,0.9492987272455853,0.8666816612887889,0.7569850552306693,51,6,13,68,13.768115942028986,23.18840579710145,51.44927536231884,98.55072463768116,0.9369720597790773,0.9471047518813246,0.8395061728395061,0.9066666666666666,0.8717948717948718,0.8583495776478232,0.7084609602852625,0.8581427174680365,0.7569850552306693,14.492753623188406,23.91304347826087,52.17391304347826,99.27536231884058,0.0008663634394628916,0.002193975364260692,0.0,0.01225225225225235,0.005624483043837891,0.00877192982456143,0.01649882143104675,0.008538943820752376,0.0,-0.72463768115942,-0.7246376811594217,-0.7246376811594146,-0.7246376811594217
Australian Credit Approval,R1_F2,1,2,AllFeatures,Cost2,1.6556291390728477,14,42,0.0,0.2587370000546798,0.8333333333333334,0.8625,0.8518518518518519,0.8070175438596491,0.8571428571428571,0.8294346978557505,0.657234393342203,0.9354559237600173,0.9453706951730466,0.8291317080016751,0.7641325536062378,46,11,12,69,16.666666666666668,25.36231884057971,51.44927536231884,94.92753623188406,0.9369720597790773,0.9471047518813246,0.8395061728395061,0.9066666666666666,0.8717948717948718,0.8583495776478232,0.7084609602852625,0.8581427174680365,0.7569850552306693,14.492753623188406,23.91304347826087,52.17391304347826,99.27536231884058,-0.001516136019059977,-0.0017340567082779756,0.012345679012345734,-0.044166666666666576,-0.014652014652014711,-0.028914879792072634,-0.05122656694305949,-0.02901100946636137,0.007147498375568495,2.1739130434782616,1.44927536231884,-0.7246376811594146,-4.347826086956516
Australian Credit Approval,R1_F2,1,2,AllFeatures,Cost5,4.139072847682119,14,42,0.0,0.26083980000112206,0.855072463768116,0.8674698795180723,0.8888888888888888,0.8070175438596491,0.8780487804878049,0.8479532163742689,0.6998587509534344,0.9369720597790773,0.9461171854359403,0.8469645375546981,0.7569850552306693,46,11,9,72,14.492753623188406,21.014492753623188,40.57971014492754,73.18840579710145,0.9369720597790773,0.9471047518813246,0.8395061728395061,0.9066666666666666,0.8717948717948718,0.8583495776478232,0.7084609602852625,0.8581427174680365,0.7569850552306693,14.492753623188406,23.91304347826087,52.17391304347826,99.27536231884058,0.0,-0.0009875664453843358,0.04938271604938271,-0.039196787148594314,0.0062539086929330745,-0.010396361273554255,-0.008602209331828092,-0.01117817991333836,0.0,0.0,-2.8985507246376834,-11.59420289855072,-26.086956521739125
