dataset,run_id,repeat,fold,selector,subset,subset_fraction,selected_source_features,selected_transformed_features,feature_reduction_pct,selector_runtime_seconds_for_fold,xgb_runtime_seconds,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,baseline_roc_auc,baseline_pr_auc,baseline_recall_adverse,baseline_f1_adverse,baseline_balanced_accuracy,baseline_mcc,baseline_gmean,baseline_ks_statistic,delta_roc_auc,delta_pr_auc,delta_recall_adverse,delta_f1_adverse,delta_balanced_accuracy,delta_mcc,delta_gmean,delta_ks_statistic
German Credit,R1_F1,1,1,RF,Top50,0.5,10,21,50.0,0.8908753999858163,0.25608809996629134,0.75,0.6888888888888889,0.4626865671641791,0.8947368421052632,0.5535714285714286,0.6787117046347211,0.4039932499743378,0.7985635731118843,0.6720488743709423,0.6434148879137025,0.48322298283020987,119,14,36,31,0.8305465155425878,0.7029175365070379,0.582089552238806,0.6724137931034483,0.753450791156997,0.5562888497938473,0.7337052681366867,0.5278868813825608,-0.03198294243070354,-0.030868662136095626,-0.11940298507462688,-0.11884236453201968,-0.0747390865222759,-0.15229559981950952,-0.09029038022298419,-0.04466389855235092
German Credit,R1_F1,1,1,RF,Top75,0.75,15,37,25.0,0.8908753999858163,0.3023585000191815,0.785,0.7608695652173914,0.5223880597014925,0.9172932330827067,0.6194690265486725,0.7198406463920997,0.4931305785716126,0.8325664908540007,0.6927267211378334,0.6922304762197227,0.49814835596453827,122,11,32,35,0.8305465155425878,0.7029175365070379,0.582089552238806,0.6724137931034483,0.753450791156997,0.5562888497938473,0.7337052681366867,0.5278868813825608,0.002019975311412847,-0.01019081536920452,-0.059701492537313494,-0.05294476655477576,-0.03361014476489732,-0.06315827122223472,-0.041474791916964016,-0.02973852541802252
German Credit,R1_F1,1,1,RFE,Top25,0.25,5,17,75.0,0.8908753999858163,0.32356270001037046,0.685,0.5384615384615384,0.417910447761194,0.8195488721804511,0.47058823529411764,0.6187296599708225,0.2555170660121482,0.7401526203568624,0.5955762804954324,0.585233317690572,0.39198743126472896,109,24,39,28,0.8305465155425878,0.7029175365070379,0.582089552238806,0.6724137931034483,0.753450791156997,0.5562888497938473,0.7337052681366867,0.5278868813825608,-0.09039389518572549,-0.10734125601160549,-0.16417910447761197,-0.20182555780933065,-0.13472113118617446,-0.3007717837816991,-0.14847195044611472,-0.13589945011783183
German Credit,R1_F1,1,1,RFE,Top50,0.5,10,35,50.0,0.8908753999858163,0.32828340004198253,0.745,0.6333333333333333,0.5671641791044776,0.8345864661654135,0.5984251968503937,0.7008753226349456,0.41379016278472114,0.8094489956233868,0.6623905820533246,0.6880025784649456,0.5350690158231399,111,22,29,38,0.8305465155425878,0.7029175365070379,0.582089552238806,0.6724137931034483,0.753450791156997,0.5562888497938473,0.7337052681366867,0.5278868813825608,-0.021097519919201058,-0.04052695445371335,-0.014925373134328401,-0.07398859625305454,-0.052575468522051416,-0.14249868700912616,-0.04570268967174107,0.007182134440579135
German Credit,R1_F1,1,1,RFE,Top75,0.75,15,48,25.0,0.8908753999858163,0.30701379996025935,0.775,0.7037037037037037,0.5671641791044776,0.8796992481203008,0.628099173553719,0.7234317136123891,0.4750777883925759,0.8103467624284592,0.6536709130808207,0.7063525337386258,0.5432611379194254,117,16,29,38,0.8305465155425878,0.7029175365070379,0.582089552238806,0.6724137931034483,0.753450791156997,0.5562888497938473,0.7337052681366867,0.5278868813825608,-0.020199753114128693,-0.04924662342621722,-0.014925373134328401,-0.04431461954972926,-0.030019077544607864,-0.08121106140127138,-0.02735273439806085,0.015374256536864639
German Credit,R1_F1,1,1,EqualConsensus,Top25,0.25,5,12,75.0,0.8908753999858163,0.23193919996265322,0.73,0.6181818181818182,0.5074626865671642,0.8421052631578947,0.5573770491803278,0.6747839748625295,0.3695127968130423,0.7481203007518796,0.6061718320022729,0.6537101798308285,0.42251150263719,112,21,33,34,0.8305465155425878,0.7029175365070379,0.582089552238806,0.6724137931034483,0.753450791156997,0.5562888497938473,0.7337052681366867,0.5278868813825608,-0.08242621479070822,-0.09674570450476505,-0.07462686567164178,-0.11503674392312047,-0.07866681629446748,-0.18677605298080502,-0.07999508830585822,-0.10537537874537078
German Credit,R1_F1,1,1,EqualConsensus,Top50,0.5,10,26,50.0,0.8908753999858163,0.2684336999664083,0.77,0.6981132075471698,0.5522388059701493,0.8796992481203008,0.6166666666666667,0.715969027045225,0.4619426773085614,0.8096734373246549,0.6702156439551186,0.6969964579499619,0.4826618785770396,117,16,30,37,0.8305465155425878,0.7029175365070379,0.582089552238806,0.6724137931034483,0.753450791156997,0.5562888497938473,0.7337052681366867,0.5278868813825608,-0.02087307821793294,-0.032701892551919354,-0.02985074626865669,-0.05574712643678159,-0.037481764111771954,-0.09434617248528587,-0.03670881018672478,-0.045225002805521164
German Credit,R1_F1,1,1,EqualConsensus,Top75,0.75,15,45,25.0,0.8908753999858163,0.2781661000335589,0.77,0.6842105263157895,0.582089552238806,0.8646616541353384,0.6290322580645161,0.7233756031870722,0.4671146725985211,0.8139378296487487,0.6768080758628892,0.7094438068611949,0.5575131859499496,115,18,28,39,0.8305465155425878,0.7029175365070379,0.582089552238806,0.6724137931034483,0.753450791156997,0.5562888497938473,0.7337052681366867,0.5278868813825608,-0.016608685893839126,-0.026109460644148763,0.0,-0.04338153503893216,-0.03007518796992481,-0.08917417719532622,-0.02426146127549178,0.029626304567388795
German Credit,R1_F2,1,2,Chi2,Top25,0.25,5,18,75.0,0.8768827000167221,0.22024559997953475,0.73,0.44642857142857145,0.5208333333333334,0.7960526315789473,0.4807692307692308,0.6584429824561404,0.301418675789559,0.7023711622807017,0.5048420644452769,0.6439027454624147,0.3771929824561403,121,31,23,25,0.7420504385964911,0.476023150179116,0.4166666666666667,0.4597701149425287,0.6458333333333334,0.3144010367213984,0.60380736442456,0.4320175438596491,-0.03967927631578938,0.0288189142661609,0.10416666666666669,0.02099911582670211,0.012609649122807043,-0.01298236093183941,0.040095381037854705,-0.054824561403508776
German Credit,R1_F2,1,2,Chi2,Top50,0.5,10,35,50.0,0.8768827000167221,0.2763169000390917,0.77,0.5227272727272727,0.4791666666666667,0.8618421052631579,0.5,0.6705043859649122,0.3515760851814769,0.7458881578947368,0.5005204717397537,0.642624313866142,0.4473684210526316,131,21,25,23,0.7420504385964911,0.476023150179116,0.4166666666666667,0.4597701149425287,0.6458333333333334,0.3144010367213984,0.60380736442456,0.4320175438596491,0.003837719298245723,0.024497321560637664,0.0625,0.040229885057471326,0.02467105263157887,0.03717504846007852,0.038816949441582094,0.015350877192982504
German Credit,R1_F2,1,2,Chi2,Top75,0.75,15,53,25.0,0.8768827000167221,0.29095689998939633,0.755,0.4897959183673469,0.5,0.8355263157894737,0.4948453608247423,0.6677631578947368,0.333182733684121,0.7543859649122807,0.49122415224635857,0.646346004779744,0.4298245614035087,127,25,24,24,0.7420504385964911,0.476023150179116,0.4166666666666667,0.4597701149425287,0.6458333333333334,0.3144010367213984,0.60380736442456,0.4320175438596491,0.012335526315789602,0.015201002067242564,0.08333333333333331,0.03507524588221361,0.021929824561403466,0.018781696962722583,0.042538640355184065,-0.0021929824561403577
