dataset,run_id,source_feature,selected
German Credit,R5_F3,purpose,1
German Credit,R5_F3,savings,1
German Credit,R5_F3,employment_duration,1
German Credit,R5_F3,personal_status_sex,1
German Credit,R5_F3,other_debtors,0
German Credit,R5_F3,property,1
German Credit,R5_F3,other_installment_plans,1
German Credit,R5_F3,housing,1
German Credit,R5_F3,job,0
German Credit,R5_F3,telephone,1
German Credit,R5_F3,foreign_worker,1
German Credit,R5_F3,duration,1
German Credit,R5_F3,amount,1
German Credit,R5_F3,installment_rate,1
German Credit,R5_F3,present_residence,0
German Credit,R5_F3,age,1
German Credit,R5_F3,number_credits,0
German Credit,R5_F3,people_liable,0
German Credit,R5_F4,status,1
German Credit,R5_F4,credit_history,1
German Credit,R5_F4,purpose,1
German Credit,R5_F4,savings,1
German Credit,R5_F4,employment_duration,1
German Credit,R5_F4,personal_status_sex,1
German Credit,R5_F4,other_debtors,1
German Credit,R5_F4,property,1
German Credit,R5_F4,other_installment_plans,1
German Credit,R5_F4,housing,1
German Credit,R5_F4,job,0
German Credit,R5_F4,telephone,1
German Credit,R5_F4,foreign_worker,1
German Credit,R5_F4,duration,1
German Credit,R5_F4,amount,1
German Credit,R5_F4,installment_rate,1
German Credit,R5_F4,present_residence,0
German Credit,R5_F4,age,0
German Credit,R5_F4,number_credits,0
German Credit,R5_F4,people_liable,0
German Credit,R5_F5,status,1
German Credit,R5_F5,credit_history,1
German Credit,R5_F5,purpose,1
German Credit,R5_F5,savings,1
German Credit,R5_F5,employment_duration,1
German Credit,R5_F5,personal_status_sex,1
German Credit,R5_F5,other_debtors,1
German Credit,R5_F5,property,1
German Credit,R5_F5,other_installment_plans,1
German Credit,R5_F5,housing,1
German Credit,R5_F5,job,0
German Credit,R5_F5,telephone,0
German Credit,R5_F5,foreign_worker,1
German Credit,R5_F5,duration,1
German Credit,R5_F5,amount,1
German Credit,R5_F5,installment_rate,1
German Credit,R5_F5,present_residence,0
German Credit,R5_F5,age,0
German Credit,R5_F5,number_credits,1
German Credit,R5_F5,people_liable,0
Australian Credit Approval,R1_F1,a1,0
Australian Credit Approval,R1_F1,a4,1
Australian Credit Approval,R1_F1,a5,1
Australian Credit Approval,R1_F1,a6,1
Australian Credit Approval,R1_F1,a8,1
Australian Credit Approval,R1_F1,a9,1
Australian Credit Approval,R1_F1,a11,1
Australian Credit Approval,R1_F1,a12,0
Australian Credit Approval,R1_F1,a2,1
Australian Credit Approval,R1_F1,a3,1
Australian Credit Approval,R1_F1,a7,1
Australian Credit Approval,R1_F1,a10,1
Australian Credit Approval,R1_F1,a13,0
Australian Credit Approval,R1_F1,a14,1
Australian Credit Approval,R1_F2,a1,0
Australian Credit Approval,R1_F2,a4,1
Australian Credit Approval,R1_F2,a5,1
Australian Credit Approval,R1_F2,a6,1
Australian Credit Approval,R1_F2,a8,1
Australian Credit Approval,R1_F2,a9,1
Australian Credit Approval,R1_F2,a11,0
Australian Credit Approval,R1_F2,a12,1
Australian Credit Approval,R1_F2,a2,1
Australian Credit Approval,R1_F2,a3,1
Australian Credit Approval,R1_F2,a7,1
Australian Credit Approval,R1_F2,a10,1
Australian Credit Approval,R1_F2,a13,0
Australian Credit Approval,R1_F2,a14,1
Australian Credit Approval,R1_F3,a1,0
Australian Credit Approval,R1_F3,a4,1
Australian Credit Approval,R1_F3,a5,1
Australian Credit Approval,R1_F3,a6,1
Australian Credit Approval,R1_F3,a8,1
Australian Credit Approval,R1_F3,a9,1
Australian Credit Approval,R1_F3,a11,0
Australian Credit Approval,R1_F3,a12,1
Australian Credit Approval,R1_F3,a2,1
Australian Credit Approval,R1_F3,a3,1
Australian Credit Approval,R1_F3,a7,1
Australian Credit Approval,R1_F3,a10,1
Australian Credit Approval,R1_F3,a13,0
Australian Credit Approval,R1_F3,a14,1
Australian Credit Approval,R1_F4,a1,0
Australian Credit Approval,R1_F4,a4,1
Australian Credit Approval,R1_F4,a5,1
Australian Credit Approval,R1_F4,a6,1
Australian Credit Approval,R1_F4,a8,1
Australian Credit Approval,R1_F4,a9,1
Australian Credit Approval,R1_F4,a11,0
Australian Credit Approval,R1_F4,a12,1
Australian Credit Approval,R1_F4,a2,1
Australian Credit Approval,R1_F4,a3,1
Australian Credit Approval,R1_F4,a7,1
Australian Credit Approval,R1_F4,a10,1
Australian Credit Approval,R1_F4,a13,0
Australian Credit Approval,R1_F4,a14,1
Australian Credit Approval,R1_F5,a1,0
Australian Credit Approval,R1_F5,a4,1
Australian Credit Approval,R1_F5,a5,1
Australian Credit Approval,R1_F5,a6,1
Australian Credit Approval,R1_F5,a8,1
Australian Credit Approval,R1_F5,a9,1
