dataset,Selected_Source_Features,Feature_Reduction_Pct,ROC_AUC,Baseline_ROC_AUC,Delta_ROC_AUC,PR_AUC,Baseline_PR_AUC,Delta_PR_AUC,Recall,Baseline_Recall,Delta_Recall,F1,Baseline_F1,Delta_F1,Balanced_Accuracy,Baseline_Balanced_Accuracy,Delta_Balanced_Accuracy,MCC,Baseline_MCC,Delta_MCC,mean_jaccard
Australian Credit Approval,11.0,21.42857142857143,0.9259399374019719,0.9315676492243011,-0.005627711822329213,0.9304989567727574,0.9328366710194778,-0.002337714246720206,0.8710457440467805,0.8789575769826825,-0.007911832935902136,0.8733661280091795,0.8833359269900393,-0.009969798980859906,0.8595096449789255,0.8721299344906208,-0.012620289511695377,0.7177398777719824,0.7423314450749313,-0.02459156730294888,0.9622222222222221
Taiwan Credit Card Default,18.0,21.739130434782606,0.782617406583378,0.7832339217930203,-0.0006165152096423165,0.560104906950744,0.5605248823378762,-0.00041997538713226754,0.36699902438811244,0.3679639111534876,-0.0009648867653751569,0.47538452864681974,0.47533314365453216,5.138499228753757e-05,0.6583923573567593,0.6584168767164347,-2.4519359675401198e-05,0.4041849419642982,0.40291077291661703,0.0012741690476811818,0.943157894736842
