dataset,run_id,repeat,fold,feature_regime,training_regime,selected_outer_source_features,selected_outer_features,base_model_runtime_seconds,meta_runtime_seconds,ensemble_type,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,ks_statistic,tn,fp,fn,tp,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100
German Credit,R1_F2,1,2,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable,0.9327117999200709,0.009206099959556013,SoftVote,0.77,0.5178571428571429,0.6041666666666666,0.8223684210526315,0.5576923076923077,0.7132675438596491,0.4057157954399254,0.7556195175438597,0.5125953073432683,0.7048741644572442,0.4385964912280702,125,27,19,29,23.0,32.5,61.0,108.5
German Credit,R1_F2,1,2,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable,0.9327117999200709,0.009206099959556013,Stack,0.72,0.44594594594594594,0.6875,0.7302631578947368,0.5409836065573771,0.7088815789473684,0.3695484776799263,0.7564418859649122,0.5141515228377787,0.7085590455654571,0.4385964912280702,111,41,15,33,28.0,35.5,58.0,95.5
German Credit,R1_F2,1,2,FrozenChi2Top75,Unweighted,15,status;duration;credit_history;housing;savings;amount;other_installment_plans;property;employment_duration;personal_status_sex;purpose;foreign_worker;number_credits;telephone;other_debtors,0.9169699000194669,0.008383599983062595,SoftVote,0.785,0.5581395348837209,0.5,0.875,0.5274725274725275,0.6875,0.38984289761013236,0.7717927631578947,0.5193083637631709,0.6614378277661477,0.47916666666666663,133,19,24,24,21.5,33.5,69.5,129.5
German Credit,R1_F2,1,2,FrozenChi2Top75,Unweighted,15,status;duration;credit_history;housing;savings;amount;other_installment_plans;property;employment_duration;personal_status_sex;purpose;foreign_worker;number_credits;telephone;other_debtors,0.9169699000194669,0.008383599983062595,Stack,0.79,0.5789473684210527,0.4583333333333333,0.8947368421052632,0.5116279069767442,0.6765350877192983,0.38437412143088856,0.7741228070175439,0.5238759065549738,0.640380917343924,0.474780701754386,136,16,26,22,21.0,34.0,73.0,138.0
German Credit,R1_F2,1,2,FrozenChi2Top75,Balanced,15,status;duration;credit_history;housing;savings;amount;other_installment_plans;property;employment_duration;personal_status_sex;purpose;foreign_worker;number_credits;telephone;other_debtors,0.8906172000570223,0.009234099998138845,SoftVote,0.75,0.4838709677419355,0.625,0.7894736842105263,0.5454545454545454,0.7072368421052632,0.3827401178155846,0.7711074561403509,0.5323199913587472,0.7024393586862705,0.4868421052631579,120,32,18,30,25.0,34.0,61.0,106.0
German Credit,R1_F2,1,2,FrozenChi2Top75,Balanced,15,status;duration;credit_history;housing;savings;amount;other_installment_plans;property;employment_duration;personal_status_sex;purpose;foreign_worker;number_credits;telephone;other_debtors,0.8906172000570223,0.009234099998138845,Stack,0.735,0.4675324675324675,0.75,0.7302631578947368,0.576,0.7401315789473684,0.42152541683963557,0.7724780701754385,0.538284329087279,0.7400657865494477,0.5,111,41,12,36,26.5,32.5,50.5,80.5
German Credit,R1_F3,1,3,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable,0.9604195999563672,0.01132379996124655,SoftVote,0.78,0.7317073170731707,0.47619047619047616,0.9197080291970803,0.5769230769230769,0.6979492526937783,0.4555372859434098,0.7978218051210753,0.6952147359804353,0.6617825960083583,0.49183176920403193,126,11,33,30,22.0,38.5,88.0,170.5
German Credit,R1_F3,1,3,AllFeatures,Unweighted,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable,0.9604195999563672,0.01132379996124655,Stack,0.775,0.7368421052631579,0.4444444444444444,0.927007299270073,0.5544554455445545,0.6857258718572588,0.4398287904445937,0.7990962808481057,0.6942065018273975,0.6418747885063195,0.49183176920403193,127,10,35,28,22.5,40.0,92.5,180.0
German Credit,R1_F3,1,3,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable,0.9985406000050716,0.01068100001430139,SoftVote,0.755,0.6206896551724138,0.5714285714285714,0.8394160583941606,0.5950413223140496,0.705422314911366,0.4205813435079715,0.7933032093616035,0.683157928417046,0.6925794677019941,0.4737573861661453,115,22,27,36,24.5,38.0,78.5,146.0
German Credit,R1_F3,1,3,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable,0.9985406000050716,0.01068100001430139,Stack,0.74,0.5733333333333334,0.6825396825396826,0.7664233576642335,0.6231884057971014,0.7244815201019581,0.4307799785864612,0.7957362993859344,0.6875233464026946,0.7232664482962994,0.47978218051210747,105,32,20,43,26.0,36.0,66.0,116.0
