run_id,feature_regime,training_regime,meta_intercept,coef_LR,coef_RF,coef_XGB
R1_F1,AllFeatures,Unweighted,-2.4510619897706194,1.3287864667920968,1.680603963603355,1.8335142982373942
R1_F1,AllFeatures,Balanced,-1.883067396233142,1.546601570729274,1.3833769728559655,1.6960607944762396
R1_F1,FrozenChi2Top75,Unweighted,-2.3690204356036557,1.426713032832782,1.4307732292326731,1.7088143886482856
R1_F1,FrozenChi2Top75,Balanced,-1.854248789826525,1.8237403871366618,1.510577609365079,1.184845859903477
R1_F2,AllFeatures,Unweighted,-2.5063688029412714,1.4661218775927218,2.2575005093337484,1.177700088625306
R1_F2,AllFeatures,Balanced,-1.8985353722721758,1.4166128797390798,1.7935588446770223,1.3953227077201735
R1_F2,FrozenChi2Top75,Unweighted,-2.3766273596229746,1.3115734788874676,1.9084060396139073,1.3254597637502297
R1_F2,FrozenChi2Top75,Balanced,-1.8102236734991632,1.2323978289584092,1.6383082686232515,1.4896747335744398
R1_F3,AllFeatures,Unweighted,-2.531393077448083,1.9311659171031477,2.1805545477460755,0.9776998904919253
R1_F3,AllFeatures,Balanced,-1.9393933831022188,1.9412574578336466,1.8081041499751935,1.0457925380983635
R1_F3,FrozenChi2Top75,Unweighted,-2.4205783409743185,2.0893372480867303,1.6555542792181606,1.034630926148681
R1_F3,FrozenChi2Top75,Balanced,-1.928351156039241,2.1524966194000976,1.7592648436923533,0.7896793380335454
R1_F4,AllFeatures,Unweighted,-2.5364180027407293,2.438575551745148,1.8744000037865272,0.7075627400103381
R1_F4,AllFeatures,Balanced,-2.014563342582406,2.425044623451913,1.3669937851036178,1.0120267107792305
R1_F4,FrozenChi2Top75,Unweighted,-2.4805749578136416,2.1429204300150446,1.4057619193182622,1.3047722647886861
R1_F4,FrozenChi2Top75,Balanced,-2.0538108092904315,2.3452665856600725,1.4705078294963279,1.0575974896139162
R1_F5,AllFeatures,Unweighted,-2.5223776362635757,1.714503230386733,2.085061552569257,1.2866028644968854
R1_F5,AllFeatures,Balanced,-2.0536589721121756,1.6998655228189314,2.3492858102977547,1.134008940254677
R1_F5,FrozenChi2Top75,Unweighted,-2.4055839494706115,1.92957395362362,1.1072741795713508,1.739395203986815
R1_F5,FrozenChi2Top75,Balanced,-1.96308082872035,2.2342027792532506,1.039358281554324,1.3317813215056356
R2_F1,AllFeatures,Unweighted,-2.4574934818856087,1.2981064134651705,2.113556600436454,1.432212297657882
