run_id,inner_fold,feature_regime,training_regime,selected_source_features,selected_features
R1_F2,2,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F2,3,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F2,4,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F2,5,AllFeatures,Balanced,20,status;credit_history;purpose;savings;employment_duration;personal_status_sex;other_debtors;property;other_installment_plans;housing;job;telephone;foreign_worker;duration;amount;installment_rate;present_residence;age;number_credits;people_liable
R1_F2,1,FrozenChi2Top75,Unweighted,15,status;duration;credit_history;housing;amount;savings;foreign_worker;personal_status_sex;property;purpose;telephone;other_installment_plans;employment_duration;other_debtors;installment_rate
R1_F2,2,FrozenChi2Top75,Unweighted,15,status;duration;housing;credit_history;savings;amount;other_installment_plans;purpose;employment_duration;telephone;property;other_debtors;personal_status_sex;foreign_worker;number_credits
R1_F2,3,FrozenChi2Top75,Unweighted,15,status;duration;credit_history;other_installment_plans;amount;savings;housing;property;employment_duration;personal_status_sex;number_credits;purpose;age;foreign_worker;telephone
R1_F2,4,FrozenChi2Top75,Unweighted,15,status;duration;amount;credit_history;housing;installment_rate;other_installment_plans;savings;telephone;property;foreign_worker;employment_duration;purpose;number_credits;age
R1_F2,5,FrozenChi2Top75,Unweighted,15,duration;status;savings;housing;property;credit_history;employment_duration;amount;other_debtors;purpose;number_credits;installment_rate;personal_status_sex;other_installment_plans;foreign_worker
R1_F2,1,FrozenChi2Top75,Balanced,15,status;duration;credit_history;housing;amount;savings;foreign_worker;personal_status_sex;property;purpose;telephone;other_installment_plans;employment_duration;other_debtors;installment_rate
