feature_regime,training_regime,ensemble_type,Source_Features,ROC_AUC,ROC_AUC_SD,PR_AUC,PR_AUC_SD,Recall,Precision,F1,Balanced_Accuracy,MCC,MCC_SD,GMean,KS,Cost_2_1,Cost_5_1,Cost_10_1
AllFeatures,Balanced,SoftVote,20.0,0.8002876546907189,0.026112586735533384,0.6502826227571157,0.05828356070574247,0.6037885939615296,0.5887919652349517,0.59383912318332,0.7111736428066345,0.419291309844262,0.053545111530796594,0.7019910689662823,0.4930519917806296,36.5,72.2,131.7
AllFeatures,Balanced,Stack,20.0,0.7989606708553372,0.027562089636678333,0.6484926662426683,0.05849453013868943,0.7123934265564061,0.5269612095444621,0.603991080975515,0.7192467355582457,0.40900617579236104,0.053748417748354566,0.7182144483753828,0.48984388836088855,36.44,62.36,105.56
AllFeatures,Unweighted,SoftVote,20.0,0.8004881027453671,0.024706107894701422,0.6479684008941811,0.05929467361232211,0.4579423784280193,0.6582840490841039,0.5366405458770532,0.6780983440860388,0.40098668185538533,0.06992178670146967,0.6392517602738141,0.49415305364915,39.7,88.54,169.94
AllFeatures,Unweighted,Stack,20.0,0.7998804482331938,0.025106687804500313,0.6486722405662643,0.05766784434708176,0.4430642284180547,0.6606573416908197,0.526711199551493,0.6726429604404135,0.39412869460683103,0.0716524019981834,0.6300111944696126,0.49008660569713264,40.3,90.46,174.06
FrozenChi2Top75,Balanced,SoftVote,15.0,0.7988015059442607,0.02575047464186486,0.6348971004203964,0.05434686905727026,0.6265063083613087,0.5865047616054124,0.6030748803699565,0.7183547481403739,0.4285895190336244,0.05207366325464356,0.7113467010364013,0.49429030863913426,35.78,69.5,125.7
FrozenChi2Top75,Balanced,Stack,15.0,0.7976465683479312,0.027810535015737967,0.6313458842271339,0.05700687000240193,0.7239050513566693,0.5252513378118246,0.6069855701229356,0.7218835244841408,0.41275769977588717,0.04662486231703122,0.7206469520667841,0.49359489215984353,36.18,61.08,102.58
FrozenChi2Top75,Unweighted,SoftVote,15.0,0.7992302812107664,0.024580651084075117,0.6335527610454623,0.05349597731970652,0.46485839570841947,0.6594742458824387,0.541201298747282,0.6809954128899885,0.4053994382468425,0.05500759745550102,0.6436478735472027,0.4960426158848506,39.42,87.72,168.22
FrozenChi2Top75,Unweighted,Stack,15.0,0.7983779330396906,0.026054881844535745,0.6318739803131925,0.05688163603268537,0.4395990543372891,0.6633879182359097,0.5245431551948115,0.6719962211590808,0.39415951410575906,0.05743394058992381,0.6279779574218647,0.4916146815998496,40.38,90.9,175.1
