dataset,threshold_strategy,Threshold_Mean,Threshold_SD,Threshold_Min,Threshold_Max,Recall,Precision,F1,Specificity,Balanced_Accuracy,MCC,GMean,Cost_1_1,Cost_2_1,Cost_5_1,Cost_10_1
German Credit,Fixed0.50,0.5,0.0,0.5,0.5,0.4641349785178174,0.6468905358034075,0.5362078620069601,0.8913651489018817,0.6777500637098496,0.3956074894371502,0.6408748880761057,23.74,39.86,88.22,168.82
German Credit,MinCost_FN2_FP1,0.3537563925644884,0.0407438327025447,0.2333514737295639,0.4142474283538864,0.6893603943474447,0.553559099685055,0.6088080507206388,0.7582637824267218,0.7238120883870833,0.4253175003609249,0.7203240175215632,26.34,35.72,63.86,110.76
Australian Credit Approval,Fixed0.50,0.5,0.0,0.5,0.5,0.8644743715000273,0.8925975842306427,0.8776284917777761,0.8710413665786525,0.8677578690393399,0.7326582313845168,0.8673442798419009,13.304347826086957,20.840579710144926,43.44927536231884,81.1304347826087
Australian Credit Approval,MinCost_FN2_FP1,0.32836739584476904,0.058576998917738744,0.2246890912034762,0.4320401245507586,0.9189937307930268,0.8322448353887636,0.8721889344035327,0.7687294277577812,0.843861579275404,0.7024135697218962,0.8393631143203731,14.869565217391305,19.391304347826086,32.95652173913044,55.56521739130435
Taiwan Credit Card Default,Fixed0.50,0.5,0.0,0.5,0.5,0.3630762288824215,0.6765147261858954,0.47241145917270877,0.9506351937245132,0.6568557113034674,0.40254037296366074,0.5874252651410883,17.934665257197057,32.02466360251028,74.29465863844993,144.74465036501604
Taiwan Credit Card Default,MinCost_FN2_FP1,0.3161565392884825,0.013658209639798951,0.28954453253888485,0.3418825875889341,0.511119129616087,0.5704128939648951,0.5387887464759035,0.8904439975601843,0.7007815635881357,0.418124466556507,0.6744769947828333,19.347967272929562,30.163329710555253,62.60941702343232,116.68622921156079
