dataset,Delta_Recall,Delta_Precision,Delta_F1,Delta_Balanced_Accuracy,Delta_MCC,Delta_GMean,Delta_Cost_1_1,Delta_Cost_2_1,Delta_Cost_5_1,Delta_Cost_10_1
Australian Credit Approval,0.054519359292999475,-0.06035274884187911,-0.005439557374243322,-0.02389628976393591,-0.03024466166262056,-0.027981165521527792,1.565217391304348,-1.4492753623188401,-10.492753623188404,-25.565217391304344
Taiwan Credit Card Default,0.14804290073366544,-0.10610183222100025,0.06637728730319475,0.04392585228466828,0.01558409359284626,0.0870517296417449,1.4133020157325047,-1.8613338919550253,-11.685241615017615,-28.05842115345526
