dataset,calibration_method,Brier,Brier_SD,LogLoss,LogLoss_SD,ECE,Calibration_Intercept,Calibration_Slope,Mean_Predicted_Probability,Observed_Adverse_Rate,ROC_AUC,PR_AUC,Recall,Precision,F1,Balanced_Accuracy,MCC
Australian Credit Approval,Sigmoid,0.0969195678401867,0.014943011115401559,0.32766042123782924,0.04306317180019573,0.06616199009019225,0.014385374222062385,1.0367985268246578,0.5535043760138951,0.5550724637681159,0.9316235382742584,0.938131256419085,0.8644743715000273,0.8925975842306427,0.8776284917777761,0.8677578690393399,0.7326582313845168
Australian Credit Approval,Uncalibrated,0.09695698040518329,0.015035196901077122,0.3274674368313708,0.04294205068689266,0.061644606554195146,0.09913629498680634,1.021563452693446,0.5454014359334913,0.5550724637681159,0.9316235382742584,0.938131256419085,0.8564474340586401,0.8996570439203334,0.8769485456379027,0.8691787966997347,0.7346728475458191
Taiwan Credit Card Default,Sigmoid,0.13456557664860447,0.002558264637344823,0.4303905823037089,0.006718255106244674,0.011494689051488276,0.004005419484130276,1.0079622522514382,0.22182521377225725,0.22119984617360175,0.7773403039467119,0.5572042440480781,0.3630762288824215,0.6765147261858954,0.47241145917270877,0.6568557113034674,0.40254037296366074
Taiwan Credit Card Default,Uncalibrated,0.15658496053768878,0.0018766600170326611,0.49056045155442723,0.004277745890663131,0.14405772682997056,-0.7613878103168074,1.2503797621903,0.365090680520306,0.22119984617360175,0.7773403039467119,0.5572042440480781,0.5097449032881792,0.573779292994123,0.5397772868631724,0.7010854769216323,0.42007017553700565
