dataset,Selected_Source_Features,ROC_AUC,ROC_AUC_SD,PR_AUC,PR_AUC_SD,Recall,Precision,F1,Balanced_Accuracy,MCC,MCC_SD,GMean,KS,Cost_2_1,Cost_5_1,Cost_10_1
Australian Credit Approval,11.0,0.9316235382742584,0.01753399873980729,0.938131256419085,0.022227235630517237,0.8564474340586401,0.8996570439203334,0.8769485456379027,0.8691787966997347,0.7346728475458191,0.05103855929162829,0.8687679450826248,0.7756288313986066,21.217391304347824,45.1304347826087,84.98550724637681
Taiwan Credit Card Default,18.0,0.7773403039467119,0.006228312095687632,0.5572042440480781,0.013392454370043891,0.5097449032881792,0.573779292994123,0.5397772868631724,0.7010854769216323,0.42007017553700565,0.012298156286492066,0.6744117185567994,0.4273185369541285,30.068666795884884,62.60470911337871,116.83144630920177
