dataset,reference_name,Delta_ROC_AUC,Delta_PR_AUC,Delta_Recall,Delta_Precision,Delta_F1,Delta_Balanced_Accuracy,Delta_MCC,Delta_Cost_2_1,Delta_Cost_5_1,Delta_Cost_10_1
Australian Credit Approval,AllFeatures_Balanced_XGB,-0.0006328591866733735,0.005056948912675825,-0.021388799016294247,0.006239099862080333,-0.007897032025860829,-0.005211268551398223,-0.01174743355478835,1.7971014492753625,5.27536231884058,11.072463768115945
Australian Credit Approval,AllFeatures_Unweighted_XGB,5.5889049957200675e-05,0.00529458539960729,-0.02251014292404254,0.010304021617144624,-0.00638738135213659,-0.00295113779088604,-0.007658597529112155,,,
Australian Credit Approval,FrozenFS_Balanced_XGB,0.005459187434335457,0.00833962556269709,-0.004773422720894569,0.015372542227990978,0.004984791757761928,0.00889741071891593,0.01628311637617053,-0.46376811594202905,0.318840579710145,1.6231884057971013
Taiwan Credit Card Default,AllFeatures_Balanced_XGB,-0.005639248402758677,-0.0028906100341127726,-0.11915416549233526,0.1024980350597048,0.0010706028530825496,-0.013124598489687798,0.0302014984855868,-1.9633102306457126,5.944607132749966,19.1244694050761
Taiwan Credit Card Default,AllFeatures_Unweighted_XGB,-0.0058936178463084455,-0.0033206382897981524,0.14178099213469159,-0.09776760558920752,0.06444414320864017,0.04266860020519754,0.017159402620388616,,,
Taiwan Credit Card Default,FrozenFS_Balanced_XGB,-0.005211149786067244,-0.002037361822848003,-0.12012284438759459,0.10304261679624506,0.0010943748058184343,-0.013220317154596603,0.030322202709387024,-1.9813005705816176,5.990593486587207,19.277083581868578
