dataset,run_id,repeat,fold,accuracy,precision_adverse,recall_adverse,specificity,f1_adverse,balanced_accuracy,mcc,roc_auc,pr_auc,gmean,tn,fp,fn,tp,cost_FN1_FP1_per100,cost_FN2_FP1_per100,cost_FN5_FP1_per100,cost_FN10_FP1_per100,stage
German Credit,R5_F5,5,5,0.77,0.6341463414634146,0.4561403508771929,0.8951048951048951,0.5306122448979592,0.675622622991044,0.39275833559256,0.7905778432094221,0.590162078813304,0.6389784510646974,128,15,31,26,23.0,38.5,85.0,162.5,A1_FrozenFS_XGB
German Credit,R1_F1,1,1,0.77,0.6363636363636364,0.7313432835820896,0.7894736842105263,0.6805555555555556,0.7604084838963079,0.5051849782668207,0.8327909325552687,0.7026705472154151,0.7598527992395474,105,28,18,49,23.0,32.0,59.0,104.0,A2_FrozenFS_BalancedXGB
German Credit,R1_F2,1,2,0.745,0.4769230769230769,0.6458333333333334,0.7763157894736842,0.5486725663716814,0.7110745614035088,0.3849326426807806,0.7546600877192983,0.5020999886498159,0.7080752883945942,118,34,17,31,25.5,34.0,59.5,102.0,A2_FrozenFS_BalancedXGB
German Credit,R1_F3,1,3,0.755,0.6,0.6666666666666666,0.7956204379562044,0.631578947368421,0.7311435523114356,0.4502167423629137,0.7672343876723439,0.6407634787719582,0.7282950125492665,109,28,21,42,24.5,35.0,66.5,119.0,A2_FrozenFS_BalancedXGB
German Credit,R1_F4,1,4,0.73,0.6129032258064516,0.5588235294117647,0.8181818181818182,0.5846153846153846,0.6885026737967914,0.3861477818490156,0.7627005347593584,0.6502938675800707,0.6761798956911529,108,24,30,38,27.0,42.0,87.0,162.0,A2_FrozenFS_BalancedXGB
German Credit,R1_F5,1,5,0.74,0.5135135135135135,0.7037037037037037,0.7534246575342466,0.59375,0.7285641806189751,0.4203493131129022,0.7900811770674785,0.5498965144954422,0.7281399054910697,110,36,16,38,26.0,34.0,58.0,98.0,A2_FrozenFS_BalancedXGB
German Credit,R2_F1,2,1,0.74,0.5733333333333334,0.6825396825396826,0.7664233576642335,0.6231884057971014,0.7244815201019581,0.4307799785864612,0.8046576294751477,0.7091303521065424,0.7232664482962994,105,32,20,43,26.0,36.0,66.0,116.0,A2_FrozenFS_BalancedXGB
German Credit,R2_F2,2,2,0.74,0.453125,0.6304347826086957,0.7727272727272727,0.5272727272727272,0.7015810276679841,0.3637135540602172,0.7982778091473743,0.5402595197686918,0.6979642900590463,119,35,17,29,26.0,34.5,60.0,102.5,A2_FrozenFS_BalancedXGB
German Credit,R2_F3,2,3,0.74,0.5783132530120482,0.7384615384615385,0.7407407407407407,0.6486486486486487,0.7396011396011396,0.455523157855629,0.7675213675213676,0.6170938021094823,0.7396002616336389,100,35,17,48,26.0,34.5,60.0,102.5,A2_FrozenFS_BalancedXGB
German Credit,R2_F4,2,4,0.765,0.5901639344262295,0.6206896551724138,0.823943661971831,0.6050420168067226,0.7223166585721223,0.4382156196235105,0.7751335599805731,0.5864868187910113,0.715131671394011,117,25,22,36,23.5,34.5,67.5,122.5,A2_FrozenFS_BalancedXGB
