attribute,group,Mean_Records,Observed_Adverse_Rate,Predicted_Adverse_Rate,Recall_TPR,False_Positive_Rate,Specificity,Precision,F1,Brier,Mean_Calibrated_Probability
age_group,30-39,2247.6,0.20250356901206484,0.1731476041604857,0.4765190779839291,0.09609492514502051,0.9039050748549795,0.5579003144849376,0.5135204704311108,0.1281307937770265,0.20399125037510074
age_group,40-49,1292.8,0.22971637158550462,0.20203898637162307,0.5162236873594658,0.10832618210836939,0.8916738178916306,0.5879729225801824,0.5489962211374513,0.136746327565261,0.22736935660492555
age_group,50+,536.0,0.25288263883054407,0.24878376311416772,0.5542203410314772,0.14548646518105196,0.854513534818948,0.5638820976902895,0.5581711272440145,0.14841464372705,0.25528146557230885
age_group,<30,1923.6,0.22843709952444946,0.21133961149619704,0.5298844099280753,0.11700292548650074,0.8829970745134993,0.5727431290278002,0.550021436423192,0.13675371559871422,0.22963560232388303
sex,female,3622.4,0.20775221018318407,0.17796177139466152,0.4900639766029337,0.09611675460524394,0.9038832453947561,0.5726801890094568,0.5278164752281177,0.1285305923264706,0.2079103765897206
sex,male,2377.6,0.24161558623639479,0.229353450459923,0.5387326740767137,0.1308604549970773,0.8691395450029228,0.5681218644682045,0.5524046581868248,0.14372527022132778,0.24297231718550968
