attribute,run_id,demographic_parity_gap,equal_opportunity_gap,fpr_gap,equalized_odds_gap,brier_gap
sex,R1_F1,0.05251338350341109,0.04658154680218596,0.03979823437794407,0.04658154680218596,0.012283340305426715
sex,R1_F2,0.05001223721730294,0.07249570163280866,0.03326526256280682,0.07249570163280866,0.006842573231773341
sex,R1_F3,0.04807307202173394,0.0675814660394583,0.02982337059629643,0.0675814660394583,0.013218027922471176
sex,R1_F4,0.06136654696220817,0.04272814998621455,0.04713869901911366,0.04713869901911366,0.020002334524884355
sex,R1_F5,0.03836851178392772,0.021683460144179878,0.01357323232323232,0.021683460144179878,0.024258153446954978
sex,R2_F1,0.03561382897263504,0.038927130310942304,0.022086151256871106,0.038927130310942304,0.008412982444533035
sex,R2_F2,0.056202341786540044,0.06929528998494516,0.03725968432026809,0.06929528998494516,0.007302010124267705
sex,R2_F3,0.061456571089181594,0.06439320365899903,0.041768082227349596,0.06439320365899903,0.014431500796848684
sex,R2_F4,0.04754315735756087,0.0006174828178694414,0.04311264254655839,0.04311264254655839,0.026117347352196424
sex,R2_F5,0.07264266797040633,0.07324287652645867,0.049625310783646015,0.07324287652645867,0.019685575398499827
sex,R3_F1,0.052277902883425736,0.006360370479323252,0.04334615173461623,0.04334615173461623,0.028406271057910853
sex,R3_F2,0.030976969377569302,0.01802970028645312,0.02993731730333976,0.02993731730333976,0.005785284856344525
sex,R3_F3,0.05889060867187701,0.06681604458118068,0.039392044033024765,0.06681604458118068,0.00990835999616757
sex,R3_F4,0.05443378476230912,0.05284272550617436,0.02824095323486052,0.05284272550617436,0.018104520748857406
sex,R3_F5,0.05984754990925592,0.0844760177918803,0.03700439631464256,0.0844760177918803,0.014853653377573772
sex,R4_F1,0.03738548560348007,0.05266695461569204,0.01840248946555645,0.05266695461569204,0.007231118793943669
sex,R4_F2,0.07989575944934788,0.049449208506402775,0.06636661735578654,0.06636661735578654,0.023591773970352684
sex,R4_F3,0.04075499092558982,0.03552003552003552,0.02481386179299279,0.03552003552003552,0.016013044411057997
sex,R4_F4,0.03967385063241019,0.036170993595435186,0.024149396372196305,0.036170993595435186,0.016420268089955253
sex,R4_F5,0.058300360119220795,0.0747157021055973,0.03589984501198509,0.0747157021055973,0.012102467581251941
sex,R5_F1,0.029563272235046095,0.04239796505436233,0.01963858788462136,0.04239796505436233,0.006861598201259367
sex,R5_F2,0.05516157654114556,0.05605087014725568,0.03290941439672955,0.05605087014725568,0.0166598520427447
sex,R5_F3,0.05592384116402058,0.0671062929226039,0.03176796912966229,0.0671062929226039,0.014321136932755801
sex,R5_F4,0.04047078365087409,0.01847931689142812,0.02186144556035144,0.02186144556035144,0.02195032856386231
sex,R5_F5,0.06744292204105656,0.05808893093661299,0.05741135019138201,0.05808893093661299,0.01510342319953556
age_group,R1_F1,0.08050293953865983,0.05337559266130698,0.06951632688825282,0.06951632688825282,0.040026432079543
age_group,R1_F2,0.06484340714143227,0.08633751306165094,0.04363217179368947,0.08633751306165094,0.01664497940487944
age_group,R1_F3,0.08975481611208405,0.08458913100551324,0.06602739341941091,0.08458913100551324,0.01916131835504853
age_group,R1_F4,0.08623375532062738,0.12860719874804377,0.04212743262658365,0.12860719874804377,0.013963419946527222
age_group,R1_F5,0.058411702974198704,0.10817975258773038,0.03522792556849905,0.10817975258773038,0.01116196493365365
age_group,R2_F1,0.05357658384321576,0.08497461034958464,0.030805837563451774,0.08497461034958464,0.014521908571511782
age_group,R2_F2,0.10320678455372659,0.11433580054538373,0.07197043534762833,0.11433580054538373,0.01992967272309687
age_group,R2_F3,0.0739366362467784,0.06869567770730567,0.04469897169772569,0.06869567770730567,0.026829211687152466
age_group,R2_F4,0.06226852142471531,0.07561663143058495,0.039553660648857514,0.07561663143058495,0.02009782481734193
age_group,R2_F5,0.09855179185076096,0.10925762262483435,0.07482303112875041,0.10925762262483435,0.01772822440136393
age_group,R3_F1,0.06566636697878064,0.04503542031146929,0.051782928179576235,0.051782928179576235,0.035177474846237705
age_group,R3_F2,0.11043489402905943,0.13179954908792785,0.07199667699779533,0.13179954908792785,0.02831911157521705
age_group,R3_F3,0.07377351245622216,0.06359466221851551,0.05959213163990282,0.06359466221851551,0.013062774317104314
age_group,R3_F4,0.08131777092469344,0.1153979538754985,0.041254430688856494,0.1153979538754985,0.021247552551498017
age_group,R3_F5,0.037602914389799624,0.09774436090225563,0.025537936006723966,0.09774436090225563,0.016105474093405348
age_group,R4_F1,0.06445834862578648,0.08233358569681437,0.040839784189537875,0.08233358569681437,0.020204739602457528
age_group,R4_F2,0.09093036143094638,0.13740326147042564,0.04926501248932233,0.13740326147042564,0.014677498445310216
age_group,R4_F3,0.06592552615627967,0.08504379898570763,0.044573756425102265,0.08504379898570763,0.01667749897155918
age_group,R4_F4,0.09234503778758535,0.08140298763245835,0.057064532859153874,0.08140298763245835,0.04113008015149039
age_group,R4_F5,0.058763154007097945,0.0656328885683376,0.046745652008809896,0.0656328885683376,0.015840729557511535
age_group,R5_F1,0.0783240071825281,0.04452410694603365,0.07409330946872633,0.07409330946872633,0.022405852374221366
age_group,R5_F2,0.08187998698266807,0.15036002373430413,0.0514903838403379,0.15036002373430413,0.0033950436952712715
age_group,R5_F3,0.0383131871975165,0.0834231736742132,0.027667472026131443,0.0834231736742132,0.022850998977362064
age_group,R5_F4,0.11326203059782525,0.15077683615819204,0.06382235818156887,0.15077683615819204,0.023920895416533056
age_group,R5_F5,0.066619936089063,0.07350244371976467,0.03999006029893795,0.07350244371976467,0.03191132651774603
