dataset,calibration_method,Brier,LogLoss,ECE,Calibration_Intercept,Calibration_Slope,Mean_Predicted_Probability,Observed_Adverse_Rate,ROC_AUC,PR_AUC
Australian Credit Approval,Sigmoid,0.09691956784018667,0.32766042123782924,0.0661619900901922,0.014385374222062396,1.0367985268246578,0.5535043760138951,0.5550724637681159,0.9316235382742585,0.938131256419085
Australian Credit Approval,Uncalibrated,0.09695698040518325,0.3274674368313708,0.0616446065541951,0.09913629498680634,1.021563452693446,0.5454014359334913,0.5550724637681159,0.9316235382742585,0.938131256419085
German Credit,Sigmoid,0.160564219381934,0.4871913283657787,0.0735667967634977,0.031212472273952917,1.096169603789011,0.3027898246489582,0.3,0.7988015059442607,0.6348971004203964
German Credit,Uncalibrated,0.16555892588501256,0.4986607181838575,0.09179393356664639,-0.3965482467575683,1.0044703529315293,0.36388937335738647,0.3,0.7988015059442607,0.6348971004203964
Taiwan Credit Card Default,Sigmoid,0.1345655766486044,0.4303905823037089,0.011494689051488228,0.0040054194841302685,1.0079622522514382,0.22182521377225722,0.2211998461736017,0.7773403039467119,0.5572042440480781
Taiwan Credit Card Default,Uncalibrated,0.15658496053768875,0.49056045155442723,0.1440577268299705,-0.7613878103168074,1.2503797621903,0.365090680520306,0.2211998461736017,0.7773403039467119,0.5572042440480781
