attribute,Demographic_Parity_Gap,Equal_Opportunity_Gap,FPR_Gap,Equalized_Odds_Gap,Brier_Gap
age_group,0.07563615895368205,0.09287778334815426,0.05056398447933333,0.0949760811328641,0.021079680320521755
sex,0.05139167906526146,0.04866869747377998,0.03474370039183337,0.053312643255862976,0.015194677894857187
