dataset,Baseline_roc_auc,Final_roc_auc,Delta_roc_auc,Baseline_pr_auc,Final_pr_auc,Delta_pr_auc,Baseline_recall_adverse,Final_recall_adverse,Delta_recall_adverse,Baseline_precision_adverse,Final_precision_adverse,Delta_precision_adverse,Baseline_f1_adverse,Final_f1_adverse,Delta_f1_adverse,Baseline_balanced_accuracy,Final_balanced_accuracy,Delta_balanced_accuracy,Baseline_mcc,Final_mcc,Delta_mcc,Baseline_cost_FN2_FP1_per100,Final_cost_FN2_FP1_per100,Delta_cost_FN2_FP1_per100,Baseline_cost_FN5_FP1_per100,Final_cost_FN5_FP1_per100,Delta_cost_FN5_FP1_per100,Baseline_cost_FN10_FP1_per100,Final_cost_FN10_FP1_per100,Delta_cost_FN10_FP1_per100
German Credit,0.7903688101613544,0.7988015059442608,0.008432695782906396,0.6323657062783401,0.6348971004203964,0.0025313941420562758,0.4783380353625389,0.6893603943474446,0.21102235898490568,0.6401457596137183,0.5535590996850549,-0.08658665992866343,0.5443340129289269,0.6088080507206388,0.0644740377917119,0.6816761326602924,0.7238120883870833,0.04213595572679096,0.3988213998668603,0.42531750036092497,0.026496100494064645,39.3,35.72,-3.5799999999999983,86.16,63.86,-22.299999999999997,164.26,110.76,-53.499999999999986
Australian Credit Approval,0.9315676492243012,0.9316235382742585,5.58890499572362e-05,0.9328366710194778,0.938131256419085,0.0052945853996072545,0.8789575769826827,0.9189937307930268,0.04003615381034409,0.8893530223031887,0.8322448353887634,-0.05710818691442532,0.8833359269900395,0.8721889344035327,-0.011146992586506754,0.8721299344906208,0.843861579275404,-0.028268355215216867,0.7423314450749313,0.7024135697218961,-0.03991787535303526,19.565217391304348,19.391304347826086,-0.17391304347826164,39.82608695652174,32.95652173913044,-6.869565217391305,73.59420289855072,55.56521739130435,-18.028985507246368
Taiwan Credit Card Default,0.7832339217930203,0.7773403039467119,-0.005893617846308374,0.5605248823378762,0.5572042440480781,-0.003320638289798117,0.3679639111534876,0.511119129616087,0.14315521846259938,0.6715468985833306,0.570412893964895,-0.10113400461843558,0.47533314365453216,0.5387887464759035,0.0634556028213713,0.6584168767164347,0.7007815635881356,0.04236468687170092,0.40291077291661703,0.418124466556507,0.015213693639889947,31.946001806121362,30.163329710555253,-1.7826720955661095,73.89199980080764,62.60941702343232,-11.282582777375318,143.80199645861808,116.68622921156079,-27.115767247057292
