dataset,ROC_AUC,PR_AUC,Recall,Precision,F1,Balanced_Accuracy,MCC,GMean,Cost_2_1,Cost_5_1,Cost_10_1,Brier,LogLoss,ECE,Calibration_Intercept,Calibration_Slope
German Credit,0.7988015059442607,0.6348971004203964,0.6893603943474447,0.553559099685055,0.6088080507206388,0.7238120883870833,0.4253175003609249,0.7203240175215632,35.72,63.86,110.76,0.160564219381934,0.4871913283657787,0.0735667967634977,0.031212472273952917,1.096169603789011
Australian Credit Approval,0.9316235382742585,0.938131256419085,0.9189937307930268,0.8322448353887636,0.8721889344035327,0.843861579275404,0.7024135697218962,0.8393631143203731,19.391304347826086,32.95652173913044,55.56521739130435,0.09691956784018667,0.32766042123782924,0.0661619900901922,0.014385374222062396,1.0367985268246578
Taiwan Credit Card Default,0.7773403039467119,0.5572042440480781,0.511119129616087,0.5704128939648951,0.5387887464759035,0.7007815635881357,0.418124466556507,0.6744769947828333,30.163329710555253,62.60941702343232,116.68622921156079,0.1345655766486044,0.4303905823037089,0.011494689051488228,0.0040054194841302685,1.0079622522514382
