calibration_method,Brier,Brier_SD,LogLoss,LogLoss_SD,ECE,Calibration_Intercept,Calibration_Slope,Mean_Predicted_Probability,Observed_Adverse_Rate,ROC_AUC,PR_AUC,Recall,Precision,F1,Balanced_Accuracy,MCC
Isotonic,0.16282874963894417,0.012362490058073885,0.5019644882162777,0.042406619191292294,0.06644249420637803,-0.08295704583027198,0.9072469260152843,0.30265590812024173,0.3,0.7925466192777957,0.5964902314640941,0.47500636982763966,0.6439662081566859,0.5391616211750521,0.6799628388838479,0.39758662317045185
Sigmoid,0.16056421938193402,0.011547925445012376,0.4871913283657787,0.030338678242890542,0.07356679676349774,0.031212472273952935,1.096169603789011,0.3027898246489582,0.3,0.7988015059442607,0.6348971004203964,0.46413497851781743,0.6468905358034075,0.5362078620069601,0.6777500637098496,0.3956074894371502
Uncalibrated,0.1655589258850126,0.010301675583176193,0.4986607181838575,0.02664318952227188,0.09179393356664642,-0.39654824675756833,1.0044703529315293,0.3638893733573865,0.3,0.7988015059442607,0.6348971004203964,0.6265063083613087,0.5865047616054124,0.6030748803699565,0.7183547481403739,0.4285895190336244
