calibration_method,Delta_Brier,Delta_LogLoss,Delta_ECE,Delta_ROC_AUC,Delta_PR_AUC,Delta_Recall,Delta_F1,Delta_Balanced_Accuracy,Delta_MCC
Isotonic,-0.0027301762460683965,0.0033037700324202637,-0.0253514393602684,-0.006254886666465129,-0.03840686895630231,-0.15149993853366908,-0.06391325919490441,-0.03839190925652608,-0.031002895863172498
Sigmoid,-0.004994706503078564,-0.011469389818078794,-0.018227136803148688,0.0,0.0,-0.16237132984349134,-0.06686701836299637,-0.040604684430524465,-0.0329820295964742
Uncalibrated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
