run_id,repeat,fold,sigmoid_intercept,sigmoid_slope,isotonic_threshold_count,outer_training_records,outer_training_adverse_rate,inner_oof_mean_probability
R1_F1,1,1,-0.4550414768854265,0.8927062282730304,33,800,0.29125,0.3636465965589737
R1_F2,1,2,-0.3420800848898096,0.9134131703182606,42,800,0.315,0.36725530902278314
R1_F3,1,3,-0.3904213557746065,0.9130380965881015,28,800,0.29625,0.3570468248402051
R1_F4,1,4,-0.38658621626104317,0.9407880958012566,30,800,0.29,0.34899982745463987
R1_F5,1,5,-0.3962884590748356,0.9535355467723543,26,800,0.3075,0.3711940407318308
R2_F1,2,1,-0.40700932067561013,0.9706306586787214,38,800,0.29625,0.36247499152982227
R2_F2,2,2,-0.35668518488521533,0.8964306313198058,32,800,0.3175,0.3737557878211757
R2_F3,2,3,-0.4177345178186136,0.8866926384475271,34,800,0.29375,0.35670130814260764
R2_F4,2,4,-0.38092444933218406,0.9178878202038931,38,800,0.3025,0.3623101590165516
R2_F5,2,5,-0.41509373804012517,0.885926641133197,38,800,0.29,0.3516718445221379
R3_F1,3,1,-0.36244478431048466,0.9341964994349147,42,800,0.3075,0.36599601532454995
R3_F2,3,2,-0.4214734479760819,0.8411643173471482,28,800,0.2925,0.3537971070583583
R3_F3,3,3,-0.3567258224186402,0.9094333781120583,28,800,0.31375,0.36907676710143156
R3_F4,3,4,-0.3887108274668015,0.9883903980005797,34,800,0.28875,0.3518942956961272
R3_F5,3,5,-0.37072955635908117,0.9438763456112667,27,800,0.2975,0.3553849613192183
R4_F1,4,1,-0.3752046664792219,0.9627821631421798,42,800,0.29875,0.3604803087194327
R4_F2,4,2,-0.3697708656696689,0.9247607140028007,32,800,0.3075,0.36561529296013645
R4_F3,4,3,-0.38112481868946935,0.9067697252575218,36,800,0.2975,0.35482420219279304
R4_F4,4,4,-0.40151562573370403,0.8889266608051395,34,800,0.29375,0.354783143136584
R4_F5,4,5,-0.3969252779744103,0.8627329396624369,36,800,0.3025,0.3610756861775856
R5_F1,5,1,-0.3639066768354942,0.9432563107311966,46,800,0.305,0.36275104602504216
R5_F2,5,2,-0.4194257403317543,0.9712289987610808,42,800,0.2875,0.3556336365262625
R5_F3,5,3,-0.38469173463653794,0.8877858604679305,26,800,0.30125,0.36029107967413326
R5_F4,5,4,-0.3948805251281506,0.8780503452425976,36,800,0.3025,0.3616481303952094
R5_F5,5,5,-0.3932616053919381,0.9083905347622644,36,800,0.30375,0.3660975587568663
